,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT_Estimate!!Total,YEAR
122,13121001100,1270.0,2013.0
123,13121001100,1346.0,2014.0
124,13121001100,1658.0,2015.0
125,13121001100,1621.0,2016.0
126,13121001100,1478.0,2017.0
127,13121002500,634.0,2012.0
128,13121002500,675.0,2013.0
129,13121002500,617.0,2014.0
130,13121002500,692.0,2015.0
131,13121002500,770.0,2016.0
132,13121002500,741.0,2017.0
133,13121004200,1029.0,2012.0
134,13121004200,1120.0,2013.0
135,13121004200,1137.0,2014.0
136,13121004200,1089.0,2015.0
137,13121004200,1233.0,2016.0
138,13121004200,1158.0,2017.0
139,13121009101,1818.0,2012.0
140,13121009101,1701.0,2013.0
141,13121009101,1671.0,2014.0
142,13121009101,1660.0,2015.0
143,13121009101,1560.0,2016.0
144,13121009101,1589.0,2017.0
145,13121008904,893.0,2012.0
146,13121008904,875.0,2013.0
147,13121008904,891.0,2014.0
148,13121008904,901.0,2015.0
149,13121008904,1065.0,2016.0
150,13121008904,1079.0,2017.0
151,13121003700,0.0,2012.0
152,13121003700,0.0,2013.0
153,13121003700,30.0,2014.0
154,13121003700,54.0,2015.0
155,13121003700,95.0,2016.0
156,13121003700,110.0,2017.0
157,13121010211,414.0,2012.0
158,13121010211,415.0,2013.0
159,13121010211,306.0,2014.0
160,13121010211,224.0,2015.0
161,13121010211,157.0,2016.0
162,13121010211,179.0,2017.0
163,13121012000,810.0,2012.0
164,13121012000,790.0,2013.0
165,13121012000,872.0,2014.0
166,13121012000,913.0,2015.0
167,13121012000,950.0,2016.0
168,13121012000,933.0,2017.0
169,13121009000,548.0,2012.0
170,13121009000,588.0,2013.0
171,13121009000,659.0,2014.0
172,13121009000,726.0,2015.0
173,13121009000,761.0,2016.0
174,13121009000,890.0,2017.0
175,13121007002,457.0,2012.0
176,13121007002,459.0,2013.0
177,13121007002,467.0,2014.0
178,13121007002,519.0,2015.0
179,13121007002,538.0,2016.0
180,13121007002,643.0,2017.0
181,13121009900,542.0,2012.0
182,13121009900,635.0,2013.0
183,13121009900,607.0,2014.0
184,13121009900,578.0,2015.0
185,13121009900,627.0,2016.0
186,13121009900,634.0,2017.0
187,13121010303,1048.0,2012.0
188,13121010303,1241.0,2013.0
189,13121010303,1263.0,2014.0
