,GEOID,HOUSING UNITS_Estimate!!Total,YEAR
165,13121007703,1805.0,2017.0
166,13121007704,2216.0,2015.0
167,13121007704,2301.0,2016.0
168,13121007704,2388.0,2017.0
169,13121009501,2124.0,2015.0
170,13121009501,2062.0,2016.0
171,13121009501,2025.0,2017.0
172,13089020700,1158.0,2015.0
173,13089020700,1197.0,2016.0
174,13089020700,1181.0,2017.0
175,13121008902,4094.0,2015.0
176,13121008902,4167.0,2016.0
177,13121008902,4365.0,2017.0
178,13121009403,3194.0,2015.0
179,13121009403,3168.0,2016.0
180,13121009403,3167.0,2017.0
181,13121009602,3289.0,2015.0
182,13121009602,3300.0,2016.0
183,13121009602,3323.0,2017.0
184,13121009404,2654.0,2015.0
185,13121009404,2655.0,2016.0
186,13121009404,2702.0,2017.0
187,13121009502,2450.0,2015.0
188,13121009502,2485.0,2016.0
189,13121009502,2585.0,2017.0
190,13121010114,3085.0,2015.0
191,13121010114,3098.0,2016.0
192,13121010114,3183.0,2017.0
193,13121011800,2025.0,2015.0
194,13121011800,1960.0,2016.0
195,13121011800,1900.0,2017.0
196,13089020600,1042.0,2015.0
197,13089020600,1124.0,2016.0
198,13089020600,1144.0,2017.0
199,13089020400,1297.0,2015.0
200,13089020400,1355.0,2016.0
201,13089020400,1361.0,2017.0
202,13089020500,1807.0,2015.0
203,13089020500,1880.0,2016.0
204,13089020500,1881.0,2017.0
205,13089020801,1187.0,2015.0
206,13089020801,1194.0,2016.0
207,13089020801,1229.0,2017.0
208,13089020900,2768.0,2015.0
209,13089020900,2815.0,2016.0
210,13089020900,2936.0,2017.0
211,13121001002,573.0,2015.0
212,13121001002,538.0,2016.0
213,13121001002,581.0,2017.0
214,13121000700,397.0,2015.0
215,13121000700,414.0,2016.0
216,13121000700,418.0,2017.0
217,13121008700,2440.0,2015.0
218,13121008700,2474.0,2016.0
219,13121008700,2633.0,2017.0
220,13089020100,754.0,2015.0
221,13089020100,842.0,2016.0
222,13089020100,840.0,2017.0
223,13089020200,1184.0,2015.0
224,13089020200,1190.0,2016.0
225,13089020200,1153.0,2017.0
226,13089020300,1704.0,2015.0
227,13089020300,1758.0,2016.0
228,13089020300,1763.0,2017.0
229,13121006802,550.0,2015.0
230,13121006802,556.0,2016.0
231,13121006802,571.0,2017.0
232,13121006900,1606.0,2015.0
233,13121006900,1590.0,2016.0
234,13121006900,1612.0,2017.0
235,13121007001,1807.0,2015.0
236,13121007001,1865.0,2016.0
237,13121007001,1893.0,2017.0
238,13121007602,1163.0,2015.0
239,13121007602,1187.0,2016.0
240,13121007602,1196.0,2017.0
241,13121007802,4049.0,2015.0
242,13121007802,3822.0,2016.0
243,13121007802,3847.0,2017.0
244,13121002300,1163.0,2015.0
245,13121002300,1117.0,2016.0
246,13121002300,1167.0,2017.0
247,13121002100,1093.0,2015.0
248,13121002100,1089.0,2016.0
249,13121002100,1113.0,2017.0
250,13121007806,2453.0,2015.0
251,13121007806,2499.0,2016.0
252,13121007806,2514.0,2017.0
253,13121007805,1439.0,2015.0
254,13121007805,1460.0,2016.0
255,13121007805,1457.0,2017.0
256,13121002800,1536.0,2015.0
257,13121002800,1573.0,2016.0
258,13121002800,1648.0,2017.0
259,13121002600,626.0,2015.0
260,13121002600,642.0,2016.0
261,13121002600,660.0,2017.0
262,13121003000,1775.0,2015.0
263,13121003000,1809.0,2016.0
264,13121003000,1884.0,2017.0
265,13121002400,1458.0,2015.0
266,13121002400,1461.0,2016.0
267,13121002400,1478.0,2017.0
268,13121003200,1457.0,2015.0
269,13121003200,1462.0,2016.0
270,13121003200,1472.0,2017.0
271,13121003100,825.0,2015.0
272,13121003100,860.0,2016.0
273,13121003100,951.0,2017.0
274,13121003500,740.0,2015.0
275,13121003500,748.0,2016.0
276,13121003500,713.0,2017.0
277,13121003800,298.0,2015.0
278,13121003800,282.0,2016.0
279,13121003800,289.0,2017.0
280,13121007808,1843.0,2015.0
281,13121007808,1880.0,2016.0
282,13121007808,1926.0,2017.0
283,13121008000,2339.0,2015.0
284,13121008000,2413.0,2016.0
285,13121008000,2461.0,2017.0
286,13121007807,1375.0,2015.0
287,13121007807,1451.0,2016.0
288,13121007807,1501.0,2017.0
289,13121007900,2412.0,2015.0
290,13121007900,2428.0,2016.0
291,13121007900,2468.0,2017.0
292,13121008201,3046.0,2015.0
293,13121008201,2982.0,2016.0
294,13121008201,2913.0,2017.0
295,13121008102,3169.0,2015.0
296,13121008102,3302.0,2016.0
297,13121008102,3282.0,2017.0
298,13121004800,624.0,2015.0
299,13121004800,632.0,2016.0
300,13121004800,598.0,2017.0
301,13121005000,1030.0,2015.0
302,13121005000,1033.0,2016.0
303,13121005000,1031.0,2017.0
304,13121003900,965.0,2015.0
305,13121003900,988.0,2016.0
306,13121003900,1089.0,2017.0
307,13121004100,1140.0,2015.0
308,13121004100,1148.0,2016.0
309,13121004100,1161.0,2017.0
310,13121004900,1204.0,2015.0
311,13121004900,1261.0,2016.0
312,13121004900,1271.0,2017.0
313,13121004000,1266.0,2015.0
314,13121004000,1310.0,2016.0
315,13121004000,1319.0,2017.0
316,13121004400,1247.0,2015.0
317,13121004400,1315.0,2016.0
318,13121004400,1348.0,2017.0
319,13121005300,1758.0,2015.0
320,13121005300,1764.0,2016.0
321,13121005300,1769.0,2017.0
322,13121008400,2061.0,2015.0
323,13121008400,2008.0,2016.0
324,13121008400,2134.0,2017.0
325,13121008302,1266.0,2015.0
326,13121008302,1180.0,2016.0
327,13121008302,1177.0,2017.0
328,13121005200,2519.0,2015.0
329,13121005200,2637.0,2016.0
330,13121005200,2621.0,2017.0
331,13121008500,1739.0,2015.0
332,13121008500,1698.0,2016.0
333,13121008500,1654.0,2017.0
334,13121008202,930.0,2015.0
335,13121008202,941.0,2016.0
336,13121008202,957.0,2017.0
337,13121008601,2162.0,2015.0
338,13121008601,2113.0,2016.0
339,13121008601,2162.0,2017.0
340,13121008301,1585.0,2015.0
341,13121008301,1606.0,2016.0
342,13121008301,1637.0,2017.0
343,13121005501,1230.0,2015.0
344,13121005501,1213.0,2016.0
345,13121005501,1230.0,2017.0
346,13121005700,903.0,2015.0
347,13121005700,943.0,2016.0
