,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!1-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!2-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!3-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!4-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!5-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!6-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!7-or-more-person households,YEAR
74,13089020100,174526.0,75658.0,174871.0,250001.0,222222.0,250001.0,250001.0,-666666666.0,2017.0
75,13089020200,87889.0,67865.0,112841.0,-666666666.0,250001.0,-666666666.0,-666666666.0,-666666666.0,2017.0
76,13089020300,113088.0,54444.0,108860.0,181944.0,225592.0,144861.0,-666666666.0,-666666666.0,2017.0
77,13121006802,9815.0,12969.0,2499.0,-666666666.0,12159.0,2499.0,2499.0,19808.0,2017.0
78,13121006900,71359.0,46161.0,74297.0,80524.0,72500.0,80905.0,-666666666.0,-666666666.0,2017.0
79,13121007001,26436.0,15547.0,34667.0,27207.0,28977.0,50350.0,-666666666.0,46222.0,2017.0
80,13121007602,34136.0,22368.0,48047.0,-666666666.0,35000.0,-666666666.0,34563.0,-666666666.0,2017.0
81,13121007802,44932.0,40302.0,56902.0,36813.0,132870.0,-666666666.0,-666666666.0,-666666666.0,2017.0
82,13121002300,27674.0,19583.0,20938.0,36522.0,-666666666.0,-666666666.0,29196.0,-666666666.0,2017.0
83,13121002100,51250.0,40341.0,74545.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
84,13121007806,31192.0,22886.0,28295.0,25972.0,47344.0,90069.0,-666666666.0,-666666666.0,2017.0
85,13121007805,33255.0,21211.0,47446.0,64034.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
86,13121002800,26059.0,24338.0,-666666666.0,18948.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
87,13121002600,26350.0,21397.0,-666666666.0,30938.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
88,13121003000,94079.0,68542.0,111838.0,221964.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
89,13121002400,30972.0,23148.0,34250.0,-666666666.0,55781.0,-666666666.0,60625.0,-666666666.0,2017.0
90,13121003200,84350.0,67841.0,98750.0,115147.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
91,13121003100,46467.0,31875.0,54044.0,83409.0,139904.0,-666666666.0,-666666666.0,-666666666.0,2017.0
92,13121003500,55585.0,50208.0,95750.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
93,13121003800,22150.0,20350.0,23021.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
94,13121007808,12266.0,16806.0,12209.0,-666666666.0,-666666666.0,8534.0,-666666666.0,-666666666.0,2017.0
95,13121008000,41450.0,24375.0,49816.0,46917.0,58158.0,-666666666.0,-666666666.0,-666666666.0,2017.0
96,13121007807,21912.0,18750.0,32000.0,36250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
97,13121007900,54467.0,40170.0,66021.0,78641.0,75938.0,53618.0,-666666666.0,-666666666.0,2017.0
98,13121008201,31037.0,19083.0,44171.0,38696.0,40536.0,-666666666.0,-666666666.0,-666666666.0,2017.0
99,13121008102,24940.0,16361.0,33618.0,35657.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
100,13121004800,16413.0,11755.0,-666666666.0,52000.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
101,13121005000,79250.0,46042.0,104917.0,135750.0,148500.0,-666666666.0,-666666666.0,-666666666.0,2017.0
102,13121003900,36174.0,22440.0,35278.0,47083.0,47321.0,43438.0,-666666666.0,37875.0,2017.0
103,13121004100,38519.0,28208.0,-666666666.0,39458.0,-666666666.0,51473.0,-666666666.0,-666666666.0,2017.0
104,13121004900,77875.0,46625.0,108920.0,103269.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
105,13121004000,28191.0,26417.0,25903.0,30192.0,-666666666.0,56250.0,125758.0,-666666666.0,2017.0
106,13121004400,18030.0,16563.0,18750.0,35516.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
107,13121005300,93456.0,67500.0,105125.0,109417.0,159583.0,142969.0,-666666666.0,-666666666.0,2017.0
108,13121008400,21708.0,21149.0,23450.0,16534.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
109,13121008302,28949.0,24545.0,43882.0,-666666666.0,51250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
110,13121005200,93580.0,53750.0,108605.0,105000.0,250001.0,38636.0,-666666666.0,-666666666.0,2017.0
111,13121008500,28364.0,19130.0,38594.0,28917.0,37250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
112,13121008202,27454.0,25945.0,31719.0,30313.0,19167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
113,13121008601,21846.0,21193.0,30319.0,12348.0,21167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
114,13121008301,27023.0,19773.0,41607.0,30074.0,48214.0,-666666666.0,-666666666.0,-666666666.0,2017.0
115,13121005501,30469.0,18750.0,26667.0,39000.0,56406.0,-666666666.0,-666666666.0,-666666666.0,2017.0
116,13121005700,19698.0,14432.0,23021.0,24091.0,35375.0,31979.0,-666666666.0,-666666666.0,2017.0
117,13121006400,43690.0,22083.0,45833.0,49000.0,50917.0,-666666666.0,-666666666.0,-666666666.0,2017.0
118,13121006300,24893.0,24071.0,18611.0,37550.0,-666666666.0,2499.0,-666666666.0,-666666666.0,2017.0
119,13121006100,29276.0,14387.0,32674.0,49063.0,36892.0,-666666666.0,-666666666.0,-666666666.0,2017.0
120,13121005502,19469.0,12969.0,-666666666.0,43897.0,29828.0,16806.0,-666666666.0,-666666666.0,2017.0
121,13121005800,31625.0,28929.0,41458.0,-666666666.0,51250.0,-666666666.0,23500.0,-666666666.0,2017.0
122,13121006500,39274.0,26875.0,41389.0,44583.0,-666666666.0,-666666666.0,92774.0,-666666666.0,2017.0
123,13121008602,36815.0,34676.0,41250.0,52930.0,26167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
124,13121008800,95524.0,49327.0,105698.0,107031.0,121324.0,167019.0,-666666666.0,-666666666.0,2017.0
125,13121009200,65957.0,53108.0,83250.0,106146.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
126,13121007500,23563.0,18355.0,26643.0,58250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
127,13121008101,31833.0,25000.0,44583.0,31500.0,70938.0,2499.0,-666666666.0,-666666666.0,2017.0
128,13121006000,35549.0,32781.0,26136.0,55547.0,51813.0,-666666666.0,-666666666.0,36467.0,2017.0
