,GEOID,YEAR
241,13121007705,2012.0
242,13121007705,2013.0
243,13121007705,2014.0
244,13121007705,2015.0
245,13121007705,2016.0
246,13121007705,2017.0
247,13121009603,2012.0
248,13121009603,2013.0
249,13121009603,2014.0
250,13121009603,2015.0
251,13121009603,2016.0
252,13121009603,2017.0
253,13121009601,2012.0
254,13121009601,2013.0
255,13121009601,2014.0
256,13121009601,2015.0
257,13121009601,2016.0
258,13121009601,2017.0
259,13121009801,2012.0
260,13121009801,2013.0
261,13121009801,2014.0
262,13121009801,2015.0
263,13121009801,2016.0
264,13121009801,2017.0
265,13121011900,2012.0
266,13121011900,2013.0
267,13121011900,2014.0
268,13121011900,2015.0
269,13121011900,2016.0
270,13121011900,2017.0
271,13121001202,2012.0
272,13121001202,2013.0
273,13121001202,2014.0
274,13121001202,2015.0
275,13121001202,2016.0
276,13121001202,2017.0
277,13121009102,2012.0
278,13121009102,2013.0
279,13121009102,2014.0
280,13121009102,2015.0
281,13121009102,2016.0
282,13121009102,2017.0
283,13089020802,2012.0
284,13089020802,2013.0
285,13089020802,2014.0
286,13089020802,2015.0
287,13089020802,2016.0
288,13089020802,2017.0
289,13121001201,2012.0
290,13121001201,2013.0
291,13121001201,2014.0
292,13121001201,2015.0
293,13121001201,2016.0
294,13121001201,2017.0
295,13121001001,2012.0
296,13121001001,2013.0
297,13121001001,2014.0
298,13121001001,2015.0
299,13121001001,2016.0
300,13121001001,2017.0
301,13121008903,2012.0
302,13121008903,2013.0
303,13121008903,2014.0
304,13121008903,2015.0
305,13121008903,2016.0
306,13121008903,2017.0
307,13121004300,2012.0
308,13121004300,2013.0
309,13121004300,2014.0
310,13121004300,2015.0
311,13121004300,2016.0
312,13121004300,2017.0
313,13121007603,2012.0
314,13121007603,2013.0
315,13121007603,2014.0
316,13121007603,2015.0
317,13121007603,2016.0
318,13121007603,2017.0
319,13121007604,2012.0
320,13121007604,2013.0
321,13121007604,2014.0
322,13121007604,2015.0
323,13121007604,2016.0
324,13121007604,2017.0
325,13121007703,2012.0
