,GEOID,RENT ASKED_Estimate!!Total,RENT ASKED_Estimate!!Total!!Less than $100,RENT ASKED_Estimate!!Total!!$100 to $149,RENT ASKED_Estimate!!Total!!$150 to $199,RENT ASKED_Estimate!!Total!!$200 to $249,RENT ASKED_Estimate!!Total!!$250 to $299,RENT ASKED_Estimate!!Total!!$300 to $349,RENT ASKED_Estimate!!Total!!$350 to $399,RENT ASKED_Estimate!!Total!!$400 to $449,RENT ASKED_Estimate!!Total!!$450 to $499,RENT ASKED_Estimate!!Total!!$500 to $549,RENT ASKED_Estimate!!Total!!$550 to $599,RENT ASKED_Estimate!!Total!!$600 to $649,RENT ASKED_Estimate!!Total!!$650 to $699,RENT ASKED_Estimate!!Total!!$700 to $749,RENT ASKED_Estimate!!Total!!$750 to $799,RENT ASKED_Estimate!!Total!!$800 to $899,RENT ASKED_Estimate!!Total!!$900 to $999,"RENT ASKED_Estimate!!Total!!$1,000 to $1,249","RENT ASKED_Estimate!!Total!!$1,250 to $1,499","RENT ASKED_Estimate!!Total!!$1,500 to $1,999","RENT ASKED_Estimate!!Total!!$2,000 to $2,499",YEAR
42,13121001400,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,26.0,28.0,0.0,27.0,0.0,2017.0
43,13121001800,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,44.0,86.0,0.0,0.0,0.0,2012.0
44,13121001800,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,39.0,0.0,77.0,0.0,0.0,0.0,2013.0
45,13121001800,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,37.0,36.0,25.0,0.0,0.0,2014.0
46,13121001800,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,35.0,0.0,0.0,0.0,40.0,0.0,31.0,0.0,0.0,2015.0
47,13121001800,194.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,59.0,0.0,0.0,0.0,35.0,0.0,26.0,0.0,0.0,2016.0
48,13121001800,145.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,39.0,0.0,31.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,2017.0
49,13121001600,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0
50,13121001600,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
51,13121001600,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
52,13121001600,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
53,13121001600,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2016.0
54,13121001600,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2017.0
55,13121001500,380.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,121.0,42.0,0.0,0.0,107.0,41.0,0.0,0.0,0.0,0.0,2012.0
56,13121001500,444.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,41.0,45.0,0.0,0.0,76.0,133.0,0.0,0.0,69.0,50.0,0.0,0.0,0.0,0.0,2013.0
57,13121001500,390.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,46.0,21.0,0.0,0.0,44.0,150.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,2014.0
58,13121001500,297.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,46.0,32.0,0.0,0.0,46.0,110.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,2015.0
59,13121001500,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,20.0,0.0,0.0,44.0,106.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,2016.0
60,13121001500,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,53.0,18.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,2017.0
61,13121001900,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,19.0,35.0,71.0,18.0,43.0,0.0,2012.0
62,13121001900,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0,35.0,35.0,18.0,0.0,0.0,2013.0
63,13121001900,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,37.0,17.0,0.0,0.0,2014.0
64,13121001900,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,47.0,0.0,27.0,16.0,0.0,2015.0
65,13121001900,153.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,22.0,46.0,0.0,2016.0
