GEOID,YEAR,Income,Rent as % of Income,HHs
13121006700,2016,"$100,000 or more",50.0 percent or more,0
13121006700,2017,"Less than $10,000",Less than 20.0 percent,40
13121006700,2017,"Less than $10,000",20.0 to 24.9 percent,20
13121006700,2017,"Less than $10,000",25.0 to 29.9 percent,17
13121006700,2017,"Less than $10,000",30.0 to 34.9 percent,0
13121006700,2017,"Less than $10,000",35.0 to 39.9 percent,0
13121006700,2017,"Less than $10,000",40.0 to 49.9 percent,0
13121006700,2017,"Less than $10,000",50.0 percent or more,57
13121006700,2017,"$10,000 to $19,999",Less than 20.0 percent,25
13121006700,2017,"$10,000 to $19,999",20.0 to 24.9 percent,8
13121006700,2017,"$10,000 to $19,999",25.0 to 29.9 percent,8
13121006700,2017,"$10,000 to $19,999",30.0 to 34.9 percent,20
13121006700,2017,"$10,000 to $19,999",35.0 to 39.9 percent,24
13121006700,2017,"$10,000 to $19,999",40.0 to 49.9 percent,19
13121006700,2017,"$10,000 to $19,999",50.0 percent or more,179
13121006700,2017,"$20,000 to $34,999",Less than 20.0 percent,0
13121006700,2017,"$20,000 to $34,999",20.0 to 24.9 percent,0
13121006700,2017,"$20,000 to $34,999",25.0 to 29.9 percent,27
13121006700,2017,"$20,000 to $34,999",30.0 to 34.9 percent,21
13121006700,2017,"$20,000 to $34,999",35.0 to 39.9 percent,30
13121006700,2017,"$20,000 to $34,999",40.0 to 49.9 percent,66
13121006700,2017,"$20,000 to $34,999",50.0 percent or more,50
13121006700,2017,"$35,000 to $49,999",Less than 20.0 percent,27
13121006700,2017,"$35,000 to $49,999",20.0 to 24.9 percent,0
13121006700,2017,"$35,000 to $49,999",25.0 to 29.9 percent,9
13121006700,2017,"$35,000 to $49,999",30.0 to 34.9 percent,25
13121006700,2017,"$35,000 to $49,999",35.0 to 39.9 percent,0
13121006700,2017,"$35,000 to $49,999",40.0 to 49.9 percent,27
13121006700,2017,"$35,000 to $49,999",50.0 percent or more,0
13121006700,2017,"$50,000 to $74,999",Less than 20.0 percent,81
13121006700,2017,"$50,000 to $74,999",20.0 to 24.9 percent,36
13121006700,2017,"$50,000 to $74,999",25.0 to 29.9 percent,0
13121006700,2017,"$50,000 to $74,999",30.0 to 34.9 percent,8
13121006700,2017,"$50,000 to $74,999",35.0 to 39.9 percent,11
13121006700,2017,"$50,000 to $74,999",40.0 to 49.9 percent,0
13121006700,2017,"$50,000 to $74,999",50.0 percent or more,0
13121006700,2017,"$75,000 to $99,999",Less than 20.0 percent,24
13121006700,2017,"$75,000 to $99,999",20.0 to 24.9 percent,0
13121006700,2017,"$75,000 to $99,999",25.0 to 29.9 percent,0
13121006700,2017,"$75,000 to $99,999",30.0 to 34.9 percent,0
13121006700,2017,"$75,000 to $99,999",35.0 to 39.9 percent,0
13121006700,2017,"$75,000 to $99,999",50.0 percent or more,0
13121006700,2017,"$100,000 or more",Less than 20.0 percent,12
13121006700,2017,"$100,000 or more",20.0 to 24.9 percent,0
13121006700,2017,"$100,000 or more",25.0 to 29.9 percent,0
13121006700,2017,"$100,000 or more",30.0 to 34.9 percent,0
13121006700,2017,"$100,000 or more",35.0 to 39.9 percent,0
13121006700,2017,"$100,000 or more",40.0 to 49.9 percent,0
13121006700,2017,"$100,000 or more",50.0 percent or more,0
13121009300,2014,"Less than $10,000",Less than 20.0 percent,0
13121009300,2014,"Less than $10,000",20.0 to 24.9 percent,0
13121009300,2014,"Less than $10,000",25.0 to 29.9 percent,0
13121009300,2014,"Less than $10,000",30.0 to 34.9 percent,0
13121009300,2014,"Less than $10,000",35.0 to 39.9 percent,0
13121009300,2014,"Less than $10,000",40.0 to 49.9 percent,0
13121009300,2014,"Less than $10,000",50.0 percent or more,73
13121009300,2014,"$10,000 to $19,999",Less than 20.0 percent,0
13121009300,2014,"$10,000 to $19,999",20.0 to 24.9 percent,0
13121009300,2014,"$10,000 to $19,999",25.0 to 29.9 percent,0
13121009300,2014,"$10,000 to $19,999",30.0 to 34.9 percent,0
13121009300,2014,"$10,000 to $19,999",35.0 to 39.9 percent,0
13121009300,2014,"$10,000 to $19,999",40.0 to 49.9 percent,0
13121009300,2014,"$10,000 to $19,999",50.0 percent or more,23
13121009300,2014,"$20,000 to $34,999",Less than 20.0 percent,0
13121009300,2014,"$20,000 to $34,999",20.0 to 24.9 percent,0
13121009300,2014,"$20,000 to $34,999",25.0 to 29.9 percent,0
13121009300,2014,"$20,000 to $34,999",30.0 to 34.9 percent,13
13121009300,2014,"$20,000 to $34,999",35.0 to 39.9 percent,19
13121009300,2014,"$20,000 to $34,999",40.0 to 49.9 percent,11
13121009300,2014,"$20,000 to $34,999",50.0 percent or more,92
13121009300,2014,"$35,000 to $49,999",Less than 20.0 percent,0
13121009300,2014,"$35,000 to $49,999",20.0 to 24.9 percent,15
13121009300,2014,"$35,000 to $49,999",25.0 to 29.9 percent,0
13121009300,2014,"$35,000 to $49,999",30.0 to 34.9 percent,32
