,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
376,13121009102,1041.0,2017.0
377,13089020802,984.0,2010.0
378,13089020802,803.0,2011.0
379,13089020802,773.0,2012.0
380,13089020802,775.0,2013.0
381,13089020802,796.0,2014.0
382,13089020802,697.0,2015.0
383,13089020802,692.0,2016.0
384,13089020802,755.0,2017.0
385,13121001201,974.0,2010.0
386,13121001201,921.0,2011.0
387,13121001201,913.0,2012.0
388,13121001201,937.0,2013.0
389,13121001201,975.0,2014.0
390,13121001201,999.0,2015.0
391,13121001201,1145.0,2016.0
392,13121001201,1224.0,2017.0
393,13121001001,1192.0,2010.0
394,13121001001,1333.0,2011.0
395,13121001001,1395.0,2012.0
396,13121001001,1400.0,2013.0
397,13121001001,1404.0,2014.0
398,13121001001,1452.0,2015.0
399,13121001001,1438.0,2016.0
400,13121001001,1592.0,2017.0
401,13121008903,812.0,2010.0
402,13121008903,762.0,2011.0
403,13121008903,744.0,2012.0
404,13121008903,801.0,2013.0
405,13121008903,827.0,2014.0
406,13121008903,893.0,2015.0
407,13121008903,956.0,2016.0
408,13121008903,1179.0,2017.0
409,13121004300,794.0,2010.0
410,13121004300,852.0,2011.0
411,13121004300,852.0,2012.0
412,13121004300,862.0,2013.0
413,13121004300,873.0,2014.0
414,13121004300,882.0,2015.0
415,13121004300,889.0,2016.0
416,13121004300,880.0,2017.0
417,13121007603,669.0,2010.0
418,13121007603,730.0,2011.0
419,13121007603,725.0,2012.0
420,13121007603,730.0,2013.0
421,13121007603,695.0,2014.0
422,13121007603,717.0,2015.0
423,13121007603,688.0,2016.0
424,13121007603,696.0,2017.0
425,13121007604,771.0,2010.0
426,13121007604,764.0,2011.0
427,13121007604,804.0,2012.0
428,13121007604,828.0,2013.0
429,13121007604,801.0,2014.0
430,13121007604,771.0,2015.0
431,13121007604,784.0,2016.0
432,13121007604,801.0,2017.0
433,13121007703,795.0,2010.0
434,13121007703,862.0,2011.0
435,13121007703,774.0,2012.0
436,13121007703,798.0,2013.0
437,13121007703,833.0,2014.0
438,13121007703,876.0,2015.0
439,13121007703,840.0,2016.0
440,13121007703,893.0,2017.0
441,13121007704,840.0,2010.0
442,13121007704,866.0,2011.0
443,13121007704,932.0,2012.0
444,13121007704,922.0,2013.0
445,13121007704,902.0,2014.0
446,13121007704,851.0,2015.0
447,13121007704,874.0,2016.0
448,13121007704,881.0,2017.0
449,13121009501,1272.0,2010.0
450,13121009501,1367.0,2011.0
451,13121009501,1582.0,2012.0
452,13121009501,1505.0,2013.0
453,13121009501,1428.0,2014.0
454,13121009501,1440.0,2015.0
455,13121009501,1440.0,2016.0
456,13121009501,1583.0,2017.0
457,13089020700,827.0,2010.0
458,13089020700,754.0,2011.0
459,13089020700,801.0,2012.0
460,13089020700,824.0,2013.0
461,13089020700,853.0,2014.0
462,13089020700,855.0,2015.0
463,13089020700,859.0,2016.0
