,GEOID,VACANCY STATUS_Estimate!!Total,VACANCY STATUS_Estimate!!Total!!For rent,"VACANCY STATUS_Estimate!!Total!!Rented, not occupied",VACANCY STATUS_Estimate!!Total!!For sale only,"VACANCY STATUS_Estimate!!Total!!Sold, not occupied","VACANCY STATUS_Estimate!!Total!!For seasonal, recreational, or occasional use",VACANCY STATUS_Estimate!!Total!!For migrant workers,VACANCY STATUS_Estimate!!Total!!Other vacant,YEAR
146,13121008904,314.0,154.0,28.0,52.0,0.0,0.0,0.0,80.0,2013.0
147,13121008904,347.0,185.0,34.0,29.0,0.0,12.0,0.0,87.0,2014.0
148,13121008904,420.0,211.0,32.0,31.0,0.0,13.0,0.0,133.0,2015.0
149,13121008904,375.0,159.0,0.0,32.0,0.0,46.0,0.0,138.0,2016.0
150,13121008904,280.0,104.0,0.0,14.0,0.0,48.0,0.0,114.0,2017.0
151,13121003700,108.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2012.0
152,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
153,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
154,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
155,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
156,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
157,13121010211,86.0,4.0,27.0,38.0,17.0,0.0,0.0,0.0,2012.0
158,13121010211,128.0,35.0,22.0,33.0,38.0,0.0,0.0,0.0,2013.0
159,13121010211,196.0,67.0,0.0,32.0,49.0,0.0,0.0,48.0,2014.0
160,13121010211,182.0,33.0,0.0,57.0,39.0,0.0,0.0,53.0,2015.0
161,13121010211,222.0,40.0,0.0,21.0,48.0,59.0,0.0,54.0,2016.0
162,13121010211,212.0,36.0,0.0,18.0,45.0,64.0,0.0,49.0,2017.0
163,13121012000,343.0,43.0,43.0,63.0,0.0,0.0,0.0,194.0,2012.0
164,13121012000,367.0,52.0,25.0,75.0,0.0,0.0,0.0,215.0,2013.0
165,13121012000,369.0,73.0,7.0,30.0,0.0,0.0,0.0,259.0,2014.0
166,13121012000,383.0,57.0,36.0,29.0,0.0,0.0,0.0,261.0,2015.0
167,13121012000,359.0,76.0,28.0,29.0,0.0,0.0,0.0,226.0,2016.0
168,13121012000,315.0,104.0,28.0,15.0,0.0,0.0,0.0,168.0,2017.0
169,13121009000,318.0,65.0,57.0,89.0,0.0,54.0,0.0,53.0,2012.0
170,13121009000,295.0,35.0,63.0,86.0,0.0,56.0,0.0,55.0,2013.0
171,13121009000,211.0,34.0,30.0,43.0,0.0,53.0,0.0,51.0,2014.0
172,13121009000,137.0,32.0,0.0,41.0,0.0,48.0,0.0,16.0,2015.0
173,13121009000,93.0,18.0,0.0,8.0,0.0,50.0,0.0,17.0,2016.0
174,13121009000,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
175,13121007002,439.0,80.0,0.0,60.0,0.0,0.0,0.0,299.0,2012.0
176,13121007002,408.0,72.0,0.0,52.0,0.0,0.0,0.0,284.0,2013.0
177,13121007002,438.0,88.0,0.0,36.0,0.0,0.0,0.0,314.0,2014.0
178,13121007002,505.0,77.0,0.0,19.0,0.0,0.0,0.0,409.0,2015.0
179,13121007002,476.0,56.0,0.0,41.0,0.0,0.0,0.0,379.0,2016.0
180,13121007002,398.0,62.0,0.0,46.0,0.0,22.0,0.0,268.0,2017.0
181,13121009900,475.0,174.0,35.0,175.0,0.0,44.0,0.0,47.0,2012.0
182,13121009900,365.0,105.0,0.0,117.0,0.0,94.0,0.0,49.0,2013.0
183,13121009900,446.0,111.0,0.0,145.0,0.0,99.0,0.0,91.0,2014.0
184,13121009900,310.0,31.0,0.0,116.0,0.0,58.0,0.0,105.0,2015.0
185,13121009900,310.0,0.0,0.0,63.0,48.0,65.0,0.0,134.0,2016.0
186,13121009900,248.0,0.0,0.0,64.0,47.0,55.0,0.0,82.0,2017.0
187,13121010303,489.0,275.0,21.0,0.0,46.0,61.0,0.0,86.0,2012.0
188,13121010303,533.0,288.0,51.0,30.0,38.0,50.0,0.0,76.0,2013.0
189,13121010303,476.0,245.0,40.0,25.0,42.0,57.0,0.0,67.0,2014.0
190,13121010303,645.0,289.0,45.0,43.0,40.0,55.0,0.0,173.0,2015.0
191,13121010303,503.0,242.0,44.0,33.0,42.0,0.0,0.0,142.0,2016.0
192,13121010303,351.0,181.0,0.0,35.0,0.0,0.0,0.0,135.0,2017.0
193,13121001700,467.0,210.0,62.0,42.0,0.0,29.0,0.0,124.0,2012.0
194,13121001700,400.0,176.0,61.0,27.0,0.0,18.0,0.0,118.0,2013.0
195,13121001700,397.0,190.0,61.0,28.0,16.0,17.0,0.0,85.0,2014.0
196,13121001700,317.0,145.0,57.0,17.0,41.0,16.0,0.0,41.0,2015.0
197,13121001700,276.0,134.0,62.0,20.0,44.0,0.0,0.0,16.0,2016.0
198,13121001700,285.0,101.0,63.0,22.0,43.0,0.0,0.0,56.0,2017.0
199,13121000600,581.0,216.0,63.0,40.0,0.0,117.0,0.0,145.0,2012.0
200,13121000600,602.0,358.0,20.0,34.0,0.0,80.0,0.0,110.0,2013.0
201,13121000600,657.0,310.0,25.0,30.0,0.0,139.0,0.0,153.0,2014.0
202,13121000600,703.0,336.0,25.0,47.0,28.0,178.0,0.0,89.0,2015.0
203,13121000600,710.0,326.0,45.0,23.0,23.0,215.0,0.0,78.0,2016.0
204,13121000600,663.0,300.0,47.0,22.0,32.0,173.0,0.0,89.0,2017.0
205,13121000200,272.0,190.0,0.0,26.0,0.0,14.0,0.0,42.0,2012.0
206,13121000200,207.0,125.0,0.0,36.0,0.0,12.0,0.0,34.0,2013.0
207,13121000200,229.0,143.0,0.0,35.0,0.0,13.0,0.0,38.0,2014.0
208,13121000200,90.0,51.0,0.0,23.0,0.0,16.0,0.0,0.0,2015.0
209,13121000200,88.0,0.0,0.0,23.0,48.0,17.0,0.0,0.0,2016.0
210,13121000200,94.0,0.0,46.0,0.0,48.0,0.0,0.0,0.0,2017.0
211,13121000400,223.0,24.0,0.0,85.0,0.0,27.0,0.0,87.0,2012.0
212,13121000400,259.0,9.0,0.0,113.0,28.0,54.0,0.0,55.0,2013.0
213,13121000400,296.0,10.0,42.0,101.0,30.0,46.0,0.0,67.0,2014.0
214,13121000400,322.0,11.0,79.0,73.0,75.0,48.0,0.0,36.0,2015.0
215,13121000400,279.0,42.0,78.0,14.0,75.0,33.0,0.0,37.0,2016.0
216,13121000400,260.0,38.0,55.0,15.0,86.0,59.0,0.0,7.0,2017.0
217,13121000100,207.0,46.0,28.0,44.0,0.0,0.0,0.0,89.0,2012.0
218,13121000100,140.0,0.0,34.0,11.0,0.0,0.0,0.0,95.0,2013.0
219,13121000100,199.0,30.0,29.0,8.0,58.0,0.0,0.0,74.0,2014.0
220,13121000100,197.0,32.0,31.0,8.0,60.0,0.0,0.0,66.0,2015.0
221,13121000100,189.0,32.0,31.0,8.0,60.0,0.0,0.0,58.0,2016.0
222,13121000100,129.0,34.0,0.0,0.0,66.0,0.0,0.0,29.0,2017.0
223,13121010206,408.0,0.0,0.0,262.0,115.0,11.0,0.0,20.0,2012.0
224,13121010206,393.0,0.0,0.0,240.0,80.0,29.0,0.0,44.0,2013.0
225,13121010206,370.0,0.0,0.0,217.0,70.0,26.0,0.0,57.0,2014.0
226,13121010206,295.0,0.0,0.0,164.0,29.0,31.0,0.0,71.0,2015.0
227,13121010206,270.0,0.0,0.0,119.0,53.0,53.0,0.0,45.0,2016.0
228,13121010206,197.0,0.0,0.0,10.0,27.0,85.0,0.0,75.0,2017.0
229,13121006602,197.0,52.0,0.0,0.0,0.0,0.0,0.0,145.0,2012.0
230,13121006602,226.0,40.0,0.0,0.0,0.0,0.0,0.0,186.0,2013.0
231,13121006602,208.0,22.0,0.0,0.0,0.0,0.0,0.0,186.0,2014.0
232,13121006602,182.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,2015.0
233,13121006602,185.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,2016.0
234,13121006602,174.0,14.0,0.0,0.0,0.0,0.0,0.0,160.0,2017.0
235,13121002900,460.0,222.0,0.0,43.0,23.0,45.0,0.0,127.0,2012.0
236,13121002900,389.0,155.0,0.0,61.0,21.0,41.0,8.0,103.0,2013.0
237,13121002900,248.0,63.0,0.0,65.0,0.0,37.0,9.0,74.0,2014.0
238,13121002900,195.0,71.0,16.0,26.0,0.0,40.0,10.0,32.0,2015.0
239,13121002900,246.0,92.0,36.0,24.0,0.0,84.0,10.0,0.0,2016.0
240,13121002900,269.0,65.0,41.0,25.0,0.0,87.0,10.0,41.0,2017.0
241,13121007705,213.0,144.0,0.0,0.0,0.0,0.0,0.0,69.0,2012.0
242,13121007705,288.0,196.0,0.0,0.0,0.0,0.0,0.0,92.0,2013.0
243,13121007705,246.0,177.0,0.0,0.0,0.0,0.0,0.0,69.0,2014.0
244,13121007705,261.0,194.0,0.0,0.0,0.0,0.0,0.0,67.0,2015.0
245,13121007705,291.0,224.0,0.0,0.0,0.0,0.0,0.0,67.0,2016.0
246,13121007705,446.0,322.0,0.0,0.0,0.0,0.0,0.0,124.0,2017.0
247,13121009603,859.0,389.0,21.0,116.0,198.0,135.0,0.0,0.0,2012.0
248,13121009603,823.0,366.0,12.0,107.0,136.0,202.0,0.0,0.0,2013.0
249,13121009603,745.0,306.0,21.0,103.0,101.0,214.0,0.0,0.0,2014.0
