,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
32,13121001300,1290.0,1259.0,30.0,32.0,30.0,0.0,0.0,0.0,0.0,23.0,42.0,0.0,60.0,48.0,27.0,175.0,64.0,178.0,117.0,210.0,106.0,82.0,35.0,31.0,2013.0
33,13121001300,1330.0,1330.0,31.0,75.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,62.0,38.0,94.0,134.0,126.0,156.0,102.0,202.0,139.0,57.0,40.0,0.0,2014.0
34,13121001300,1286.0,1286.0,30.0,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,63.0,42.0,113.0,122.0,73.0,118.0,127.0,257.0,148.0,33.0,26.0,0.0,2015.0
35,13121001300,1347.0,1347.0,27.0,46.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,69.0,17.0,137.0,111.0,135.0,128.0,229.0,239.0,82.0,91.0,21.0,0.0,2016.0
36,13121001300,1391.0,1391.0,0.0,40.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,13.0,103.0,71.0,73.0,122.0,120.0,187.0,317.0,185.0,119.0,27.0,0.0,2017.0
37,13121001400,856.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,45.0,25.0,32.0,24.0,75.0,279.0,157.0,53.0,81.0,38.0,0.0,2012.0
38,13121001400,815.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,23.0,73.0,37.0,91.0,178.0,203.0,44.0,85.0,16.0,0.0,2013.0
39,13121001400,794.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,20.0,96.0,16.0,112.0,123.0,224.0,37.0,94.0,7.0,0.0,2014.0
40,13121001400,826.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,51.0,16.0,74.0,19.0,146.0,79.0,235.0,57.0,109.0,0.0,0.0,2015.0
41,13121001400,775.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.0,86.0,17.0,114.0,37.0,216.0,88.0,138.0,14.0,0.0,2016.0
42,13121001400,711.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,41.0,22.0,83.0,53.0,207.0,116.0,145.0,20.0,0.0,2017.0
43,13121001800,1842.0,1798.0,55.0,77.0,179.0,276.0,123.0,89.0,0.0,0.0,11.0,66.0,0.0,12.0,0.0,0.0,34.0,231.0,215.0,161.0,263.0,6.0,0.0,44.0,2012.0
44,13121001800,1948.0,1913.0,199.0,77.0,164.0,162.0,124.0,110.0,16.0,0.0,27.0,150.0,0.0,10.0,0.0,0.0,23.0,192.0,192.0,231.0,229.0,7.0,0.0,35.0,2013.0
45,13121001800,1942.0,1898.0,170.0,44.0,187.0,86.0,110.0,48.0,74.0,45.0,48.0,74.0,48.0,8.0,45.0,11.0,69.0,168.0,193.0,308.0,142.0,20.0,0.0,44.0,2014.0
46,13121001800,2063.0,2048.0,172.0,50.0,187.0,126.0,119.0,17.0,15.0,47.0,63.0,92.0,30.0,47.0,75.0,11.0,55.0,175.0,130.0,415.0,191.0,31.0,0.0,0.0,2015.0
47,13121001800,2273.0,2253.0,199.0,45.0,166.0,165.0,111.0,65.0,35.0,66.0,59.0,127.0,43.0,11.0,123.0,9.0,53.0,117.0,90.0,497.0,162.0,110.0,0.0,0.0,2016.0
48,13121001800,2138.0,2108.0,172.0,32.0,79.0,240.0,63.0,51.0,14.0,84.0,12.0,142.0,32.0,0.0,72.0,51.0,28.0,102.0,38.0,570.0,228.0,98.0,0.0,0.0,2017.0
49,13121001600,894.0,894.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,105.0,41.0,125.0,28.0,56.0,265.0,143.0,14.0,43.0,0.0,2012.0
50,13121001600,969.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,38.0,61.0,65.0,95.0,79.0,48.0,329.0,191.0,42.0,0.0,0.0,2013.0
51,13121001600,962.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,19.0,60.0,17.0,179.0,100.0,35.0,249.0,196.0,73.0,0.0,0.0,2014.0
52,13121001600,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,15.0,21.0,73.0,57.0,148.0,66.0,47.0,211.0,191.0,126.0,0.0,0.0,2015.0
53,13121001600,1016.0,1016.0,0.0,0.0,9.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,11.0,17.0,58.0,40.0,143.0,109.0,36.0,160.0,249.0,150.0,0.0,0.0,2016.0
