,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT_Estimate!!Total,YEAR
356,13089023108,1098.0,2017.0
357,13089023111,228.0,2017.0
358,13089023112,1899.0,2017.0
359,13089023113,906.0,2017.0
360,13089023114,250.0,2017.0
361,13089023115,0.0,2017.0
362,13089023204,622.0,2017.0
363,13089023206,1122.0,2017.0
364,13089023208,902.0,2017.0
365,13089023209,381.0,2017.0
366,13089023210,1371.0,2017.0
367,13089023211,634.0,2017.0
368,13089023212,516.0,2017.0
369,13089023213,1165.0,2017.0
370,13089023214,1232.0,2017.0
371,13089023303,1095.0,2017.0
372,13089023306,455.0,2017.0
373,13089023309,1758.0,2017.0
374,13089023310,2929.0,2017.0
375,13089023311,313.0,2017.0
376,13089023312,734.0,2017.0
377,13089023313,486.0,2017.0
378,13089023314,605.0,2017.0
379,13089023315,262.0,2017.0
380,13089023316,776.0,2017.0
381,13089023410,1079.0,2017.0
382,13089023411,558.0,2017.0
383,13089023412,422.0,2017.0
384,13089023413,161.0,2017.0
385,13089023414,808.0,2017.0
386,13089023416,872.0,2017.0
387,13089023418,3303.0,2017.0
388,13089023419,751.0,2017.0
389,13089023421,1788.0,2017.0
390,13089023422,536.0,2017.0
391,13089023423,496.0,2017.0
392,13089023424,399.0,2017.0
393,13089023425,608.0,2017.0
394,13089023426,281.0,2017.0
395,13089023427,181.0,2017.0
396,13089023428,2562.0,2017.0
397,13089023501,846.0,2017.0
398,13089023504,737.0,2017.0
399,13089023505,375.0,2017.0
400,13089023506,662.0,2017.0
401,13089023507,534.0,2017.0
402,13089023601,328.0,2017.0
403,13089023602,324.0,2017.0
404,13089023603,804.0,2017.0
405,13089023700,1398.0,2017.0
406,13089023801,528.0,2017.0
407,13089023802,905.0,2017.0
408,13089023803,674.0,2017.0
494,13121000100,395.0,2017.0
495,13121000200,832.0,2017.0
496,13121000400,363.0,2017.0
497,13121000500,1316.0,2017.0
498,13121000600,1907.0,2017.0
499,13121000700,146.0,2017.0
500,13121001001,417.0,2017.0
501,13121001002,486.0,2017.0
502,13121001100,1478.0,2017.0
503,13121001201,1875.0,2017.0
504,13121001202,1494.0,2017.0
505,13121001300,1391.0,2017.0
506,13121001400,711.0,2017.0
507,13121001500,1547.0,2017.0
508,13121001600,1002.0,2017.0
509,13121001700,1797.0,2017.0
510,13121001800,2138.0,2017.0
511,13121001900,910.0,2017.0
512,13121002100,511.0,2017.0
513,13121002300,387.0,2017.0
514,13121002400,542.0,2017.0
515,13121002500,741.0,2017.0
516,13121002600,535.0,2017.0
517,13121002800,1244.0,2017.0
518,13121002900,899.0,2017.0
519,13121003000,888.0,2017.0
520,13121003100,491.0,2017.0
521,13121003200,376.0,2017.0
522,13121003500,335.0,2017.0
523,13121003600,620.0,2017.0
524,13121003800,146.0,2017.0
525,13121003900,514.0,2017.0
526,13121004000,571.0,2017.0
527,13121004100,447.0,2017.0
528,13121004200,1158.0,2017.0
529,13121004300,562.0,2017.0
530,13121004400,1080.0,2017.0
531,13121004800,559.0,2017.0
532,13121004900,354.0,2017.0
533,13121005000,320.0,2017.0
534,13121005200,829.0,2017.0
535,13121005300,465.0,2017.0
536,13121005501,623.0,2017.0
537,13121005502,902.0,2017.0
538,13121005700,596.0,2017.0
539,13121005800,346.0,2017.0
540,13121006000,809.0,2017.0
541,13121006100,695.0,2017.0
542,13121006200,309.0,2017.0
543,13121006300,363.0,2017.0
544,13121006400,230.0,2017.0
545,13121006500,613.0,2017.0
546,13121006601,332.0,2017.0
547,13121006602,366.0,2017.0
548,13121006700,954.0,2017.0
549,13121006801,0.0,2017.0
550,13121006802,453.0,2017.0
551,13121006900,591.0,2017.0
552,13121007001,835.0,2017.0
553,13121007002,643.0,2017.0
554,13121007100,446.0,2017.0
555,13121007200,459.0,2017.0
556,13121007300,2132.0,2017.0
557,13121007400,958.0,2017.0
558,13121007500,1046.0,2017.0
559,13121007602,539.0,2017.0
560,13121007603,1981.0,2017.0
561,13121007604,808.0,2017.0
562,13121007703,652.0,2017.0
563,13121007704,1183.0,2017.0
564,13121007705,1343.0,2017.0
565,13121007706,3096.0,2017.0
566,13121007802,1423.0,2017.0
567,13121007805,783.0,2017.0
568,13121007806,1108.0,2017.0
569,13121007807,681.0,2017.0
570,13121007808,1313.0,2017.0
571,13121007900,798.0,2017.0
572,13121008000,772.0,2017.0
573,13121008101,123.0,2017.0
574,13121008102,2000.0,2017.0
575,13121008201,1138.0,2017.0
576,13121008202,419.0,2017.0
577,13121008301,618.0,2017.0
578,13121008302,329.0,2017.0
579,13121008400,1015.0,2017.0
580,13121008500,579.0,2017.0
581,13121008601,1122.0,2017.0
582,13121008602,404.0,2017.0
583,13121008700,1726.0,2017.0
584,13121008800,674.0,2017.0
585,13121008902,2691.0,2017.0
586,13121008903,486.0,2017.0
587,13121008904,1079.0,2017.0
588,13121009000,890.0,2017.0
589,13121009101,1589.0,2017.0
590,13121009102,1138.0,2017.0
591,13121009200,2633.0,2017.0
592,13121009300,1044.0,2017.0
593,13121009402,2130.0,2017.0
594,13121009403,2173.0,2017.0
595,13121009404,999.0,2017.0
596,13121009501,330.0,2017.0
597,13121009502,1110.0,2017.0
598,13121009601,950.0,2017.0
599,13121009602,1292.0,2017.0
600,13121009603,1516.0,2017.0
601,13121009700,88.0,2017.0
602,13121009801,565.0,2017.0
603,13121009802,696.0,2017.0
604,13121009900,634.0,2017.0
605,13121010001,649.0,2017.0
606,13121010002,1282.0,2017.0
607,13121010106,861.0,2017.0
608,13121010107,56.0,2017.0
609,13121010108,309.0,2017.0
610,13121010110,1803.0,2017.0
611,13121010113,2254.0,2017.0
612,13121010114,1692.0,2017.0
613,13121010115,488.0,2017.0
614,13121010117,1702.0,2017.0
615,13121010118,1821.0,2017.0
616,13121010119,1829.0,2017.0
617,13121010120,759.0,2017.0
618,13121010121,419.0,2017.0
619,13121010122,2260.0,2017.0
620,13121010123,1137.0,2017.0
621,13121010204,33.0,2017.0
