,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
330,13089021912,1509.0,1172.0,1040.0,132.0,0.0,132.0,337.0,267.0,70.0,2017.0
331,13089021913,2009.0,1005.0,354.0,651.0,166.0,485.0,1004.0,802.0,202.0,2017.0
332,13089022001,1995.0,1031.0,750.0,281.0,25.0,256.0,964.0,782.0,182.0,2017.0
333,13089022004,1690.0,1239.0,747.0,492.0,170.0,322.0,451.0,342.0,109.0,2017.0
334,13089022005,1690.0,1057.0,602.0,455.0,93.0,362.0,633.0,479.0,154.0,2017.0
335,13089022007,1120.0,819.0,534.0,285.0,73.0,212.0,301.0,259.0,42.0,2017.0
336,13089022008,2343.0,1626.0,1080.0,546.0,161.0,385.0,717.0,495.0,222.0,2017.0
337,13089022009,1803.0,908.0,484.0,424.0,75.0,349.0,895.0,612.0,283.0,2017.0
338,13089022010,608.0,511.0,406.0,105.0,36.0,69.0,97.0,81.0,16.0,2017.0
339,13089022100,1388.0,744.0,322.0,422.0,31.0,391.0,644.0,594.0,50.0,2017.0
340,13089022203,1093.0,351.0,244.0,107.0,21.0,86.0,742.0,555.0,187.0,2017.0
341,13089022204,2773.0,1487.0,1009.0,478.0,180.0,298.0,1286.0,875.0,411.0,2017.0
342,13089022301,2891.0,1118.0,958.0,160.0,35.0,125.0,1773.0,1261.0,512.0,2017.0
343,13089022302,2056.0,1010.0,789.0,221.0,49.0,172.0,1046.0,742.0,304.0,2017.0
344,13089022401,1803.0,787.0,653.0,134.0,11.0,123.0,1016.0,761.0,255.0,2017.0
345,13089022402,930.0,183.0,162.0,21.0,6.0,15.0,747.0,507.0,240.0,2017.0
346,13089022403,1418.0,1098.0,1028.0,70.0,10.0,60.0,320.0,270.0,50.0,2017.0
347,13089022500,2309.0,1468.0,1239.0,229.0,29.0,200.0,841.0,773.0,68.0,2017.0
348,13089022600,2757.0,1310.0,961.0,349.0,128.0,221.0,1447.0,1274.0,173.0,2017.0
349,13089022700,1642.0,1151.0,831.0,320.0,39.0,281.0,491.0,431.0,60.0,2017.0
350,13089022800,1270.0,887.0,718.0,169.0,79.0,90.0,383.0,290.0,93.0,2017.0
351,13089022900,1575.0,815.0,570.0,245.0,47.0,198.0,760.0,612.0,148.0,2017.0
352,13089023000,1018.0,499.0,396.0,103.0,36.0,67.0,519.0,431.0,88.0,2017.0
353,13089023101,1704.0,941.0,543.0,398.0,74.0,324.0,763.0,528.0,235.0,2017.0
354,13089023102,1545.0,879.0,512.0,367.0,79.0,288.0,666.0,565.0,101.0,2017.0
355,13089023107,1679.0,1032.0,522.0,510.0,55.0,455.0,647.0,508.0,139.0,2017.0
356,13089023108,1737.0,801.0,265.0,536.0,65.0,471.0,936.0,742.0,194.0,2017.0
357,13089023111,698.0,506.0,274.0,232.0,64.0,168.0,192.0,143.0,49.0,2017.0
358,13089023112,2067.0,1018.0,226.0,792.0,239.0,553.0,1049.0,848.0,201.0,2017.0
359,13089023113,1307.0,537.0,219.0,318.0,45.0,273.0,770.0,641.0,129.0,2017.0
360,13089023114,864.0,587.0,348.0,239.0,68.0,171.0,277.0,174.0,103.0,2017.0
361,13089023115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
362,13089023204,2252.0,1536.0,942.0,594.0,99.0,495.0,716.0,636.0,80.0,2017.0
363,13089023206,2660.0,1700.0,821.0,879.0,144.0,735.0,960.0,676.0,284.0,2017.0
364,13089023208,2302.0,1429.0,789.0,640.0,84.0,556.0,873.0,719.0,154.0,2017.0
365,13089023209,1815.0,1343.0,761.0,582.0,95.0,487.0,472.0,422.0,50.0,2017.0
366,13089023210,2535.0,1390.0,430.0,960.0,273.0,687.0,1145.0,1092.0,53.0,2017.0
367,13089023211,1326.0,764.0,430.0,334.0,56.0,278.0,562.0,552.0,10.0,2017.0
368,13089023212,1351.0,748.0,334.0,414.0,38.0,376.0,603.0,404.0,199.0,2017.0
369,13089023213,2180.0,1438.0,760.0,678.0,58.0,620.0,742.0,645.0,97.0,2017.0
370,13089023214,2236.0,1405.0,577.0,828.0,173.0,655.0,831.0,655.0,176.0,2017.0
371,13089023303,2321.0,1486.0,545.0,941.0,121.0,820.0,835.0,709.0,126.0,2017.0
372,13089023306,2399.0,1871.0,1034.0,837.0,130.0,707.0,528.0,510.0,18.0,2017.0
373,13089023309,3686.0,2263.0,1028.0,1235.0,182.0,1053.0,1423.0,1267.0,156.0,2017.0
374,13089023310,3658.0,1902.0,359.0,1543.0,313.0,1230.0,1756.0,1504.0,252.0,2017.0
375,13089023311,1510.0,1101.0,766.0,335.0,60.0,275.0,409.0,331.0,78.0,2017.0
376,13089023312,3505.0,2563.0,1507.0,1056.0,274.0,782.0,942.0,815.0,127.0,2017.0
377,13089023313,1677.0,1255.0,589.0,666.0,142.0,524.0,422.0,365.0,57.0,2017.0
378,13089023314,2096.0,1451.0,737.0,714.0,101.0,613.0,645.0,486.0,159.0,2017.0
379,13089023315,1832.0,1345.0,830.0,515.0,65.0,450.0,487.0,445.0,42.0,2017.0
380,13089023316,2899.0,2039.0,1305.0,734.0,182.0,552.0,860.0,709.0,151.0,2017.0
381,13089023410,1478.0,824.0,353.0,471.0,123.0,348.0,654.0,578.0,76.0,2017.0
382,13089023411,1403.0,901.0,368.0,533.0,102.0,431.0,502.0,446.0,56.0,2017.0
383,13089023412,2039.0,1373.0,742.0,631.0,65.0,566.0,666.0,600.0,66.0,2017.0
384,13089023413,1252.0,884.0,485.0,399.0,89.0,310.0,368.0,333.0,35.0,2017.0
385,13089023414,2295.0,1646.0,1023.0,623.0,145.0,478.0,649.0,634.0,15.0,2017.0
386,13089023416,2349.0,1532.0,960.0,572.0,225.0,347.0,817.0,691.0,126.0,2017.0
387,13089023418,6396.0,3988.0,2003.0,1985.0,255.0,1730.0,2408.0,2053.0,355.0,2017.0
388,13089023419,3214.0,2427.0,1523.0,904.0,153.0,751.0,787.0,699.0,88.0,2017.0
389,13089023421,3089.0,1817.0,549.0,1268.0,227.0,1041.0,1272.0,908.0,364.0,2017.0
390,13089023422,1842.0,1286.0,594.0,692.0,180.0,512.0,556.0,454.0,102.0,2017.0
391,13089023423,2529.0,1810.0,838.0,972.0,302.0,670.0,719.0,602.0,117.0,2017.0
392,13089023424,1799.0,1324.0,810.0,514.0,288.0,226.0,475.0,397.0,78.0,2017.0
393,13089023425,1887.0,1346.0,893.0,453.0,91.0,362.0,541.0,501.0,40.0,2017.0
394,13089023426,1572.0,1094.0,587.0,507.0,119.0,388.0,478.0,379.0,99.0,2017.0
395,13089023427,966.0,701.0,445.0,256.0,45.0,211.0,265.0,224.0,41.0,2017.0
396,13089023428,3551.0,2073.0,556.0,1517.0,141.0,1376.0,1478.0,1269.0,209.0,2017.0
397,13089023501,1302.0,738.0,215.0,523.0,109.0,414.0,564.0,495.0,69.0,2017.0
398,13089023504,1293.0,811.0,313.0,498.0,83.0,415.0,482.0,471.0,11.0,2017.0
399,13089023505,1071.0,780.0,386.0,394.0,70.0,324.0,291.0,226.0,65.0,2017.0
400,13089023506,2177.0,1447.0,510.0,937.0,164.0,773.0,730.0,711.0,19.0,2017.0
401,13089023507,1536.0,980.0,431.0,549.0,14.0,535.0,556.0,452.0,104.0,2017.0
402,13089023601,1123.0,571.0,361.0,210.0,50.0,160.0,552.0,377.0,175.0,2017.0
403,13089023602,882.0,472.0,204.0,268.0,50.0,218.0,410.0,316.0,94.0,2017.0
404,13089023603,1419.0,880.0,283.0,597.0,109.0,488.0,539.0,435.0,104.0,2017.0
405,13089023700,2363.0,1195.0,381.0,814.0,97.0,717.0,1168.0,891.0,277.0,2017.0
