,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
388,13089023419,1061.0,2017.0
389,13089023421,924.0,2017.0
390,13089023422,1214.0,2017.0
391,13089023423,1406.0,2017.0
392,13089023424,1410.0,2017.0
393,13089023425,1084.0,2017.0
394,13089023426,1460.0,2017.0
395,13089023427,1285.0,2017.0
396,13089023428,969.0,2017.0
397,13089023501,872.0,2017.0
398,13089023504,900.0,2017.0
399,13089023505,1217.0,2017.0
400,13089023506,1003.0,2017.0
401,13089023507,1005.0,2017.0
402,13089023601,978.0,2017.0
403,13089023602,1060.0,2017.0
404,13089023603,921.0,2017.0
405,13089023700,1001.0,2017.0
406,13089023801,1013.0,2017.0
407,13089023802,1060.0,2017.0
408,13089023803,1170.0,2017.0
494,13121000100,1778.0,2017.0
495,13121000200,1247.0,2017.0
496,13121000400,1580.0,2017.0
497,13121000500,1341.0,2017.0
498,13121000600,1389.0,2017.0
499,13121000700,1127.0,2017.0
500,13121001001,1592.0,2017.0
501,13121001002,1194.0,2017.0
502,13121001100,1407.0,2017.0
503,13121001201,1224.0,2017.0
504,13121001202,1228.0,2017.0
505,13121001300,1113.0,2017.0
506,13121001400,1216.0,2017.0
507,13121001500,949.0,2017.0
508,13121001600,1320.0,2017.0
509,13121001700,1377.0,2017.0
510,13121001800,911.0,2017.0
511,13121001900,1264.0,2017.0
512,13121002100,963.0,2017.0
513,13121002300,809.0,2017.0
514,13121002400,970.0,2017.0
515,13121002500,824.0,2017.0
516,13121002600,946.0,2017.0
517,13121002800,1116.0,2017.0
518,13121002900,1279.0,2017.0
519,13121003000,1293.0,2017.0
520,13121003100,873.0,2017.0
521,13121003200,1301.0,2017.0
522,13121003500,1222.0,2017.0
523,13121003600,821.0,2017.0
524,13121003800,675.0,2017.0
525,13121003900,908.0,2017.0
526,13121004000,889.0,2017.0
527,13121004100,1042.0,2017.0
528,13121004200,335.0,2017.0
529,13121004300,880.0,2017.0
530,13121004400,638.0,2017.0
531,13121004800,944.0,2017.0
532,13121004900,1023.0,2017.0
533,13121005000,1132.0,2017.0
534,13121005200,1480.0,2017.0
535,13121005300,1237.0,2017.0
536,13121005501,891.0,2017.0
537,13121005502,771.0,2017.0
538,13121005700,800.0,2017.0
539,13121005800,1105.0,2017.0
540,13121006000,903.0,2017.0
541,13121006100,1040.0,2017.0
542,13121006200,788.0,2017.0
543,13121006300,910.0,2017.0
544,13121006400,734.0,2017.0
545,13121006500,1201.0,2017.0
546,13121006601,958.0,2017.0
547,13121006602,799.0,2017.0
548,13121006700,778.0,2017.0
549,13121006801,-666666666.0,2017.0
550,13121006802,511.0,2017.0
551,13121006900,950.0,2017.0
552,13121007001,817.0,2017.0
553,13121007002,910.0,2017.0
554,13121007100,798.0,2017.0
555,13121007200,949.0,2017.0
556,13121007300,821.0,2017.0
557,13121007400,697.0,2017.0
558,13121007500,680.0,2017.0
559,13121007602,909.0,2017.0
560,13121007603,696.0,2017.0
561,13121007604,801.0,2017.0
562,13121007703,893.0,2017.0
563,13121007704,881.0,2017.0
564,13121007705,850.0,2017.0
565,13121007706,981.0,2017.0
566,13121007802,863.0,2017.0
567,13121007805,827.0,2017.0
568,13121007806,877.0,2017.0
569,13121007807,792.0,2017.0
570,13121007808,663.0,2017.0
571,13121007900,1333.0,2017.0
572,13121008000,1072.0,2017.0
573,13121008101,-666666666.0,2017.0
574,13121008102,755.0,2017.0
575,13121008201,870.0,2017.0
576,13121008202,936.0,2017.0
577,13121008301,845.0,2017.0
578,13121008302,937.0,2017.0
579,13121008400,691.0,2017.0
580,13121008500,1010.0,2017.0
581,13121008601,649.0,2017.0
582,13121008602,971.0,2017.0
583,13121008700,737.0,2017.0
584,13121008800,1513.0,2017.0
585,13121008902,1223.0,2017.0
586,13121008903,1179.0,2017.0
587,13121008904,1220.0,2017.0
588,13121009000,1317.0,2017.0
589,13121009101,1329.0,2017.0
590,13121009102,1041.0,2017.0
591,13121009200,1216.0,2017.0
592,13121009300,1245.0,2017.0
593,13121009402,1419.0,2017.0
594,13121009403,1146.0,2017.0
595,13121009404,1473.0,2017.0
596,13121009501,1583.0,2017.0
597,13121009502,1396.0,2017.0
598,13121009601,1501.0,2017.0
599,13121009602,1525.0,2017.0
600,13121009603,1114.0,2017.0
601,13121009700,2361.0,2017.0
602,13121009801,1143.0,2017.0
603,13121009802,1714.0,2017.0
604,13121009900,1326.0,2017.0
605,13121010001,1363.0,2017.0
606,13121010002,1820.0,2017.0
607,13121010106,1155.0,2017.0
608,13121010107,-666666666.0,2017.0
609,13121010108,1218.0,2017.0
610,13121010110,1410.0,2017.0
611,13121010113,1192.0,2017.0
612,13121010114,1093.0,2017.0
613,13121010115,1460.0,2017.0
614,13121010117,1159.0,2017.0
615,13121010118,1025.0,2017.0
616,13121010119,1071.0,2017.0
617,13121010120,1250.0,2017.0
618,13121010121,1244.0,2017.0
619,13121010122,1355.0,2017.0
620,13121010123,1256.0,2017.0
621,13121010204,3501.0,2017.0
622,13121010205,1630.0,2017.0
623,13121010206,1107.0,2017.0
624,13121010208,1020.0,2017.0
625,13121010209,1042.0,2017.0
626,13121010210,1107.0,2017.0
627,13121010211,1036.0,2017.0
628,13121010212,1125.0,2017.0
629,13121010301,1270.0,2017.0
630,13121010303,1124.0,2017.0
631,13121010304,1338.0,2017.0
632,13121010400,981.0,2017.0
633,13121010507,887.0,2017.0
634,13121010508,1349.0,2017.0
635,13121010510,927.0,2017.0
636,13121010511,1140.0,2017.0
637,13121010512,887.0,2017.0
638,13121010513,974.0,2017.0
639,13121010514,1032.0,2017.0
640,13121010515,1058.0,2017.0
641,13121010516,1145.0,2017.0
642,13121010601,714.0,2017.0
643,13121010603,773.0,2017.0
644,13121010604,827.0,2017.0
645,13121010800,1029.0,2017.0
646,13121011000,868.0,2017.0
647,13121011100,739.0,2017.0
648,13121011201,954.0,2017.0
649,13121011202,925.0,2017.0
650,13121011301,1341.0,2017.0
651,13121011303,1036.0,2017.0
652,13121011305,901.0,2017.0
653,13121011306,864.0,2017.0
654,13121011405,1104.0,2017.0
655,13121011410,1127.0,2017.0
656,13121011411,1251.0,2017.0
657,13121011412,1189.0,2017.0
658,13121011414,1130.0,2017.0
659,13121011416,-666666666.0,2017.0
660,13121011417,2344.0,2017.0
661,13121011418,2298.0,2017.0
662,13121011419,1910.0,2017.0
663,13121011420,1050.0,2017.0
664,13121011421,1139.0,2017.0
665,13121011422,1119.0,2017.0
666,13121011423,1413.0,2017.0
667,13121011424,1394.0,2017.0
668,13121011425,1498.0,2017.0
669,13121011426,1574.0,2017.0
670,13121011427,1692.0,2017.0
671,13121011503,2206.0,2017.0
672,13121011504,3027.0,2017.0
673,13121011505,3061.0,2017.0
674,13121011506,1833.0,2017.0
675,13121011610,1451.0,2017.0
676,13121011611,1257.0,2017.0
677,13121011612,2531.0,2017.0
678,13121011613,1491.0,2017.0
679,13121011614,1221.0,2017.0
680,13121011615,1807.0,2017.0
681,13121011616,1298.0,2017.0
682,13121011617,1450.0,2017.0
683,13121011618,1330.0,2017.0
684,13121011619,1270.0,2017.0
685,13121011620,1529.0,2017.0
686,13121011621,1410.0,2017.0
687,13121011622,1867.0,2017.0
688,13121011623,1337.0,2017.0
689,13121011624,-666666666.0,2017.0
690,13121011625,1424.0,2017.0
691,13121011626,1528.0,2017.0
692,13121011800,895.0,2017.0
693,13121011900,853.0,2017.0
694,13121012000,722.0,2017.0
695,13121012300,876.0,2017.0
945,13089980000,-666666666.0,2017.0
946,13121003700,454.0,2017.0
947,13121980000,-666666666.0,2017.0
