,GEOID,OCCUPANCY STATUS_Estimate!!Total,OCCUPANCY STATUS_Estimate!!Total!!Occupied,OCCUPANCY STATUS_Estimate!!Total!!Vacant,YEAR
157,13121010211,1422.0,1336.0,86.0,2012.0
158,13121010211,1406.0,1278.0,128.0,2013.0
159,13121010211,1395.0,1199.0,196.0,2014.0
160,13121010211,1308.0,1126.0,182.0,2015.0
161,13121010211,1239.0,1017.0,222.0,2016.0
162,13121010211,1209.0,997.0,212.0,2017.0
163,13121012000,1529.0,1186.0,343.0,2012.0
164,13121012000,1529.0,1162.0,367.0,2013.0
165,13121012000,1553.0,1184.0,369.0,2014.0
166,13121012000,1582.0,1199.0,383.0,2015.0
167,13121012000,1572.0,1213.0,359.0,2016.0
168,13121012000,1574.0,1259.0,315.0,2017.0
169,13121009000,1991.0,1673.0,318.0,2012.0
170,13121009000,1995.0,1700.0,295.0,2013.0
171,13121009000,2053.0,1842.0,211.0,2014.0
172,13121009000,2069.0,1932.0,137.0,2015.0
173,13121009000,2097.0,2004.0,93.0,2016.0
174,13121009000,2101.0,2092.0,9.0,2017.0
175,13121007002,1292.0,853.0,439.0,2012.0
176,13121007002,1239.0,831.0,408.0,2013.0
177,13121007002,1279.0,841.0,438.0,2014.0
178,13121007002,1320.0,815.0,505.0,2015.0
179,13121007002,1323.0,847.0,476.0,2016.0
180,13121007002,1386.0,988.0,398.0,2017.0
181,13121009900,2423.0,1948.0,475.0,2012.0
182,13121009900,2376.0,2011.0,365.0,2013.0
183,13121009900,2418.0,1972.0,446.0,2014.0
184,13121009900,2458.0,2148.0,310.0,2015.0
185,13121009900,2416.0,2106.0,310.0,2016.0
186,13121009900,2406.0,2158.0,248.0,2017.0
187,13121010303,3749.0,3260.0,489.0,2012.0
188,13121010303,3885.0,3352.0,533.0,2013.0
189,13121010303,4018.0,3542.0,476.0,2014.0
190,13121010303,4107.0,3462.0,645.0,2015.0
191,13121010303,4212.0,3709.0,503.0,2016.0
192,13121010303,4325.0,3974.0,351.0,2017.0
193,13121001700,1810.0,1343.0,467.0,2012.0
194,13121001700,2029.0,1629.0,400.0,2013.0
195,13121001700,2118.0,1721.0,397.0,2014.0
196,13121001700,2225.0,1908.0,317.0,2015.0
