,GEOID,HOUSING UNITS_Estimate!!Total,YEAR
375,13089023311,1589.0,2017.0
376,13089023312,3714.0,2017.0
377,13089023313,1796.0,2017.0
378,13089023314,2351.0,2017.0
379,13089023315,2006.0,2017.0
380,13089023316,3143.0,2017.0
381,13089023410,1988.0,2017.0
382,13089023411,1574.0,2017.0
383,13089023412,2627.0,2017.0
384,13089023413,1439.0,2017.0
385,13089023414,2540.0,2017.0
386,13089023416,2564.0,2017.0
387,13089023418,6918.0,2017.0
388,13089023419,3466.0,2017.0
389,13089023421,3757.0,2017.0
390,13089023422,2079.0,2017.0
391,13089023423,3552.0,2017.0
392,13089023424,1927.0,2017.0
393,13089023425,2319.0,2017.0
394,13089023426,1728.0,2017.0
395,13089023427,1024.0,2017.0
396,13089023428,4167.0,2017.0
397,13089023501,1544.0,2017.0
398,13089023504,1600.0,2017.0
399,13089023505,1180.0,2017.0
400,13089023506,2608.0,2017.0
401,13089023507,1753.0,2017.0
402,13089023601,1243.0,2017.0
403,13089023602,1058.0,2017.0
404,13089023603,1604.0,2017.0
405,13089023700,2694.0,2017.0
406,13089023801,1969.0,2017.0
407,13089023802,1531.0,2017.0
408,13089023803,2255.0,2017.0
494,13121000100,2098.0,2017.0
495,13121000200,2871.0,2017.0
496,13121000400,1194.0,2017.0
497,13121000500,3524.0,2017.0
498,13121000600,3046.0,2017.0
499,13121000700,418.0,2017.0
500,13121001001,1163.0,2017.0
501,13121001002,581.0,2017.0
502,13121001100,3833.0,2017.0
503,13121001201,2869.0,2017.0
504,13121001202,3470.0,2017.0
505,13121001300,2496.0,2017.0
506,13121001400,1458.0,2017.0
507,13121001500,2845.0,2017.0
508,13121001600,1515.0,2017.0
509,13121001700,2545.0,2017.0
510,13121001800,3277.0,2017.0
511,13121001900,1898.0,2017.0
512,13121002100,1113.0,2017.0
513,13121002300,1167.0,2017.0
514,13121002400,1478.0,2017.0
515,13121002500,1311.0,2017.0
516,13121002600,660.0,2017.0
517,13121002800,1648.0,2017.0
