,GEOID,UNWEIGHTED SAMPLE HOUSING UNITS_Estimate!!Total,YEAR
328,13121005200,117.0,2015.0
329,13121005200,122.0,2016.0
330,13121005200,121.0,2017.0
331,13121008500,126.0,2015.0
332,13121008500,121.0,2016.0
333,13121008500,118.0,2017.0
334,13121008202,113.0,2015.0
335,13121008202,117.0,2016.0
336,13121008202,110.0,2017.0
337,13121008601,172.0,2015.0
338,13121008601,164.0,2016.0
339,13121008601,151.0,2017.0
340,13121008301,106.0,2015.0
341,13121008301,107.0,2016.0
342,13121008301,97.0,2017.0
343,13121005501,145.0,2015.0
344,13121005501,144.0,2016.0
345,13121005501,142.0,2017.0
346,13121005700,110.0,2015.0
347,13121005700,118.0,2016.0
348,13121005700,112.0,2017.0
349,13121006400,64.0,2015.0
350,13121006400,66.0,2016.0
351,13121006400,60.0,2017.0
352,13121006300,130.0,2015.0
353,13121006300,135.0,2016.0
354,13121006300,131.0,2017.0
355,13121006100,141.0,2015.0
356,13121006100,140.0,2016.0
357,13121006100,133.0,2017.0
358,13121005502,118.0,2015.0
359,13121005502,106.0,2016.0
360,13121005502,102.0,2017.0
361,13121005800,83.0,2015.0
362,13121005800,85.0,2016.0
363,13121005800,91.0,2017.0
364,13121006500,134.0,2015.0
365,13121006500,128.0,2016.0
366,13121006500,130.0,2017.0
367,13121008602,65.0,2015.0
368,13121008602,70.0,2016.0
369,13121008602,63.0,2017.0
370,13121008800,115.0,2015.0
371,13121008800,118.0,2016.0
372,13121008800,115.0,2017.0
373,13121009200,200.0,2015.0
374,13121009200,210.0,2016.0
375,13121009200,201.0,2017.0
376,13121007500,144.0,2015.0
377,13121007500,134.0,2016.0
378,13121007500,131.0,2017.0
379,13121008101,69.0,2015.0
380,13121008101,69.0,2016.0
381,13121008101,69.0,2017.0
382,13121006000,139.0,2015.0
383,13121006000,137.0,2016.0
384,13121006000,128.0,2017.0
