,GEOID,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!2-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!3-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!4-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!5-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!6-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!7-or-more-person families,YEAR
60,13121009403,56406.0,57188.0,-666666666.0,173929.0,-666666666.0,-666666666.0,-666666666.0,2017.0
61,13121009602,194091.0,135000.0,-666666666.0,231944.0,-666666666.0,-666666666.0,-666666666.0,2017.0
62,13121009404,104167.0,94152.0,100731.0,138523.0,250001.0,-666666666.0,-666666666.0,2017.0
63,13121009502,116023.0,121429.0,98601.0,183000.0,-666666666.0,-666666666.0,-666666666.0,2017.0
64,13121010114,113125.0,113864.0,-666666666.0,250001.0,235333.0,-666666666.0,-666666666.0,2017.0
65,13121011800,36765.0,37059.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
66,13089020600,38942.0,68542.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
67,13089020400,127411.0,115536.0,104688.0,223750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
68,13089020500,63875.0,62174.0,-666666666.0,117153.0,-666666666.0,-666666666.0,-666666666.0,2017.0
69,13089020801,114107.0,115069.0,122228.0,164286.0,-666666666.0,-666666666.0,-666666666.0,2017.0
70,13089020900,86908.0,70617.0,149792.0,175313.0,-666666666.0,-666666666.0,-666666666.0,2017.0
71,13121001002,31250.0,31250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
72,13121000700,103500.0,106250.0,90250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
73,13121008700,34612.0,33966.0,-666666666.0,41335.0,28714.0,-666666666.0,-666666666.0,2017.0
74,13089020100,226339.0,210781.0,228750.0,250001.0,-666666666.0,250001.0,-666666666.0,2017.0
75,13089020200,183846.0,148558.0,-666666666.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
76,13089020300,168594.0,109522.0,195536.0,225263.0,248750.0,-666666666.0,-666666666.0,2017.0
77,13121006802,7857.0,2499.0,21250.0,9563.0,2499.0,2499.0,19808.0,2017.0
78,13121006900,59024.0,57927.0,-666666666.0,75962.0,80905.0,-666666666.0,-666666666.0,2017.0
79,13121007001,32870.0,29602.0,26563.0,31635.0,50550.0,-666666666.0,46222.0,2017.0
80,13121007602,38750.0,48125.0,30000.0,-666666666.0,-666666666.0,34563.0,-666666666.0,2017.0
81,13121007802,50658.0,55197.0,36813.0,132870.0,-666666666.0,-666666666.0,-666666666.0,2017.0
82,13121002300,27750.0,22578.0,35598.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
83,13121002100,79323.0,83472.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
84,13121007806,44196.0,30078.0,22417.0,47148.0,90275.0,-666666666.0,-666666666.0,2017.0
85,13121007805,46467.0,41806.0,64091.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
86,13121002800,19405.0,-666666666.0,18918.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
87,13121002600,22011.0,-666666666.0,30156.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
88,13121003000,128333.0,123514.0,183846.0,105568.0,-666666666.0,-666666666.0,-666666666.0,2017.0
89,13121002400,45000.0,46750.0,42708.0,-666666666.0,-666666666.0,60625.0,-666666666.0,2017.0
90,13121003200,113438.0,95781.0,108929.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
91,13121003100,87500.0,51111.0,116923.0,169338.0,-666666666.0,-666666666.0,-666666666.0,2017.0
92,13121003500,124135.0,123654.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
93,13121003800,44286.0,-666666666.0,-666666666.0,61094.0,-666666666.0,-666666666.0,-666666666.0,2017.0
94,13121007808,10487.0,11439.0,-666666666.0,-666666666.0,8558.0,-666666666.0,-666666666.0,2017.0
95,13121008000,47034.0,47647.0,46250.0,58750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
96,13121007807,22083.0,31400.0,-666666666.0,31875.0,-666666666.0,-666666666.0,-666666666.0,2017.0
97,13121007900,67208.0,67146.0,-666666666.0,75938.0,53618.0,-666666666.0,-666666666.0,2017.0
98,13121008201,44522.0,43610.0,-666666666.0,39655.0,-666666666.0,-666666666.0,-666666666.0,2017.0
99,13121008102,31203.0,30714.0,27639.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
100,13121004800,-666666666.0,27750.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
101,13121005000,123750.0,103500.0,142500.0,122917.0,-666666666.0,-666666666.0,-666666666.0,2017.0
102,13121003900,36677.0,35742.0,50893.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
103,13121004100,42625.0,60268.0,38875.0,16027.0,70521.0,-666666666.0,-666666666.0,2017.0
104,13121004900,107550.0,110875.0,92045.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
