,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!1-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!2-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!3-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!4-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!5-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!6-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!7-or-more-person households,YEAR
526,13121004000,28191.0,26417.0,25903.0,30192.0,-666666666.0,56250.0,125758.0,-666666666.0,2017.0
527,13121004100,38519.0,28208.0,-666666666.0,39458.0,-666666666.0,51473.0,-666666666.0,-666666666.0,2017.0
528,13121004200,18569.0,14153.0,31125.0,48512.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
529,13121004300,28287.0,35375.0,23071.0,-666666666.0,24688.0,-666666666.0,-666666666.0,-666666666.0,2017.0
530,13121004400,18030.0,16563.0,18750.0,35516.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
531,13121004800,16413.0,11755.0,-666666666.0,52000.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
532,13121004900,77875.0,46625.0,108920.0,103269.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
533,13121005000,79250.0,46042.0,104917.0,135750.0,148500.0,-666666666.0,-666666666.0,-666666666.0,2017.0
534,13121005200,93580.0,53750.0,108605.0,105000.0,250001.0,38636.0,-666666666.0,-666666666.0,2017.0
535,13121005300,93456.0,67500.0,105125.0,109417.0,159583.0,142969.0,-666666666.0,-666666666.0,2017.0
536,13121005501,30469.0,18750.0,26667.0,39000.0,56406.0,-666666666.0,-666666666.0,-666666666.0,2017.0
537,13121005502,19469.0,12969.0,-666666666.0,43897.0,29828.0,16806.0,-666666666.0,-666666666.0,2017.0
538,13121005700,19698.0,14432.0,23021.0,24091.0,35375.0,31979.0,-666666666.0,-666666666.0,2017.0
539,13121005800,31625.0,28929.0,41458.0,-666666666.0,51250.0,-666666666.0,23500.0,-666666666.0,2017.0
540,13121006000,35549.0,32781.0,26136.0,55547.0,51813.0,-666666666.0,-666666666.0,36467.0,2017.0
541,13121006100,29276.0,14387.0,32674.0,49063.0,36892.0,-666666666.0,-666666666.0,-666666666.0,2017.0
542,13121006200,27115.0,16957.0,43750.0,51250.0,-666666666.0,42500.0,-666666666.0,-666666666.0,2017.0
543,13121006300,24893.0,24071.0,18611.0,37550.0,-666666666.0,2499.0,-666666666.0,-666666666.0,2017.0
