,GEOID,GROSS RENT_Estimate!!Total,GROSS RENT_Estimate!!Total!!With cash rent,GROSS RENT_Estimate!!Total!!With cash rent!!Less than $100,GROSS RENT_Estimate!!Total!!With cash rent!!$100 to $149,GROSS RENT_Estimate!!Total!!With cash rent!!$150 to $199,GROSS RENT_Estimate!!Total!!With cash rent!!$200 to $249,GROSS RENT_Estimate!!Total!!With cash rent!!$250 to $299,GROSS RENT_Estimate!!Total!!With cash rent!!$300 to $349,GROSS RENT_Estimate!!Total!!With cash rent!!$350 to $399,GROSS RENT_Estimate!!Total!!With cash rent!!$400 to $449,GROSS RENT_Estimate!!Total!!With cash rent!!$450 to $499,GROSS RENT_Estimate!!Total!!With cash rent!!$500 to $549,GROSS RENT_Estimate!!Total!!With cash rent!!$550 to $599,GROSS RENT_Estimate!!Total!!With cash rent!!$600 to $649,GROSS RENT_Estimate!!Total!!With cash rent!!$650 to $699,GROSS RENT_Estimate!!Total!!With cash rent!!$700 to $749,GROSS RENT_Estimate!!Total!!With cash rent!!$750 to $799,GROSS RENT_Estimate!!Total!!With cash rent!!$800 to $899,GROSS RENT_Estimate!!Total!!With cash rent!!$900 to $999,"GROSS RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","GROSS RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","GROSS RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","GROSS RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","GROSS RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
43,13121001900,896.0,875.0,0.0,3.0,13.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,20.0,15.0,43.0,105.0,231.0,286.0,81.0,17.0,17.0,2016.0
44,13121001900,910.0,891.0,0.0,0.0,35.0,0.0,5.0,32.0,0.0,0.0,0.0,15.0,29.0,41.0,0.0,0.0,34.0,36.0,41.0,162.0,286.0,137.0,18.0,20.0,2017.0
45,13121000500,1131.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,15.0,0.0,21.0,0.0,90.0,72.0,79.0,266.0,140.0,201.0,196.0,25.0,2014.0
46,13121000500,1296.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,17.0,5.0,0.0,96.0,74.0,61.0,235.0,337.0,129.0,185.0,28.0,2015.0
47,13121000500,1300.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,15.0,18.0,0.0,100.0,64.0,31.0,292.0,368.0,118.0,111.0,28.0,2016.0
48,13121000500,1316.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,18.0,13.0,15.0,37.0,20.0,77.0,53.0,13.0,204.0,404.0,178.0,97.0,40.0,2017.0
49,13121003600,564.0,552.0,5.0,0.0,22.0,14.0,39.0,11.0,21.0,0.0,0.0,5.0,12.0,80.0,0.0,59.0,32.0,94.0,45.0,97.0,16.0,0.0,0.0,12.0,2014.0
50,13121003600,597.0,597.0,6.0,0.0,0.0,42.0,8.0,12.0,37.0,0.0,0.0,5.0,13.0,31.0,0.0,73.0,74.0,114.0,69.0,68.0,39.0,6.0,0.0,0.0,2015.0
51,13121003600,561.0,561.0,5.0,9.0,0.0,42.0,15.0,12.0,46.0,0.0,0.0,5.0,0.0,26.0,14.0,41.0,62.0,85.0,71.0,59.0,57.0,12.0,0.0,0.0,2016.0
52,13121003600,620.0,620.0,0.0,10.0,0.0,109.0,10.0,19.0,8.0,13.0,0.0,4.0,0.0,45.0,14.0,19.0,38.0,98.0,27.0,117.0,31.0,58.0,0.0,0.0,2017.0
53,13121010002,984.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,136.0,267.0,325.0,242.0,6.0,2014.0
54,13121010002,971.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,88.0,317.0,300.0,111.0,25.0,2015.0
55,13121010002,1148.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,0.0,74.0,179.0,484.0,159.0,86.0,2016.0
56,13121010002,1282.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,99.0,174.0,534.0,187.0,80.0,2017.0
57,13121010001,660.0,660.0,0.0,0.0,0.0,29.0,0.0,33.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,177.0,136.0,125.0,101.0,45.0,0.0,2014.0
58,13121010001,574.0,574.0,0.0,0.0,0.0,0.0,0.0,39.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,75.0,185.0,129.0,107.0,0.0,0.0,2015.0
59,13121010001,584.0,584.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,16.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,67.0,137.0,143.0,109.0,0.0,34.0,2016.0
60,13121010001,649.0,649.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,30.0,177.0,156.0,196.0,0.0,34.0,2017.0
61,13121009802,817.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,45.0,171.0,151.0,306.0,104.0,25.0,2014.0
62,13121009802,776.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,124.0,195.0,272.0,52.0,29.0,2015.0
