,GEOID,TOTAL POPULATION_Estimate!!Total,YEAR
517,13121002800,5005.0,2017.0
518,13121002900,2385.0,2017.0
519,13121003000,3325.0,2017.0
520,13121003100,1974.0,2017.0
521,13121003200,2251.0,2017.0
522,13121003500,2175.0,2017.0
523,13121003600,1358.0,2017.0
524,13121003800,4091.0,2017.0
525,13121003900,2522.0,2017.0
526,13121004000,2522.0,2017.0
527,13121004100,2127.0,2017.0
528,13121004200,2546.0,2017.0
529,13121004300,3060.0,2017.0
530,13121004400,2516.0,2017.0
531,13121004800,1158.0,2017.0
532,13121004900,2565.0,2017.0
533,13121005000,2013.0,2017.0
534,13121005200,5661.0,2017.0
535,13121005300,3619.0,2017.0
536,13121005501,2298.0,2017.0
537,13121005502,2523.0,2017.0
538,13121005700,1708.0,2017.0
539,13121005800,1924.0,2017.0
540,13121006000,3643.0,2017.0
541,13121006100,3758.0,2017.0
542,13121006200,1664.0,2017.0
543,13121006300,1384.0,2017.0
544,13121006400,1075.0,2017.0
545,13121006500,4726.0,2017.0
546,13121006601,2087.0,2017.0
547,13121006602,1356.0,2017.0
548,13121006700,4051.0,2017.0
549,13121006801,2494.0,2017.0
550,13121006802,2180.0,2017.0
551,13121006900,3861.0,2017.0
552,13121007001,4797.0,2017.0
553,13121007002,2548.0,2017.0
554,13121007100,2266.0,2017.0
555,13121007200,2307.0,2017.0
556,13121007300,7880.0,2017.0
557,13121007400,3435.0,2017.0
558,13121007500,3280.0,2017.0
559,13121007602,2737.0,2017.0
560,13121007603,4613.0,2017.0
561,13121007604,2536.0,2017.0
562,13121007703,4403.0,2017.0
563,13121007704,5852.0,2017.0
564,13121007705,4618.0,2017.0
565,13121007706,9593.0,2017.0
566,13121007802,10402.0,2017.0
567,13121007805,3540.0,2017.0
568,13121007806,7035.0,2017.0
569,13121007807,3564.0,2017.0
570,13121007808,4447.0,2017.0
571,13121007900,5455.0,2017.0
572,13121008000,5965.0,2017.0
573,13121008101,1301.0,2017.0
574,13121008102,6876.0,2017.0
575,13121008201,5555.0,2017.0
576,13121008202,2090.0,2017.0
577,13121008301,2556.0,2017.0
578,13121008302,1653.0,2017.0
579,13121008400,2785.0,2017.0
580,13121008500,2546.0,2017.0
581,13121008601,3943.0,2017.0
582,13121008602,1348.0,2017.0
583,13121008700,5178.0,2017.0
584,13121008800,4665.0,2017.0
585,13121008902,6766.0,2017.0
586,13121008903,1824.0,2017.0
587,13121008904,4889.0,2017.0
588,13121009000,5248.0,2017.0
589,13121009101,4551.0,2017.0
590,13121009102,3160.0,2017.0
591,13121009200,6800.0,2017.0
592,13121009300,4916.0,2017.0
593,13121009402,4957.0,2017.0
594,13121009403,4833.0,2017.0
595,13121009404,4475.0,2017.0
596,13121009501,3631.0,2017.0
597,13121009502,3592.0,2017.0
598,13121009601,2670.0,2017.0
599,13121009602,4953.0,2017.0
600,13121009603,4401.0,2017.0
601,13121009700,3855.0,2017.0
602,13121009801,4787.0,2017.0
603,13121009802,4648.0,2017.0
604,13121009900,4980.0,2017.0
605,13121010001,4935.0,2017.0
606,13121010002,7624.0,2017.0
607,13121010106,4382.0,2017.0
608,13121010107,2004.0,2017.0
609,13121010108,3662.0,2017.0
610,13121010110,6668.0,2017.0
611,13121010113,5339.0,2017.0
612,13121010114,6738.0,2017.0
613,13121010115,2526.0,2017.0
614,13121010117,3969.0,2017.0
615,13121010118,6028.0,2017.0
616,13121010119,5314.0,2017.0
617,13121010120,2486.0,2017.0
618,13121010121,2200.0,2017.0
619,13121010122,6635.0,2017.0
620,13121010123,5140.0,2017.0
621,13121010204,5075.0,2017.0
622,13121010205,5151.0,2017.0
623,13121010206,5880.0,2017.0
624,13121010208,4695.0,2017.0
625,13121010209,5836.0,2017.0
626,13121010210,6426.0,2017.0
627,13121010211,2738.0,2017.0
628,13121010212,5332.0,2017.0
629,13121010301,17958.0,2017.0
630,13121010303,10581.0,2017.0
631,13121010304,16085.0,2017.0
632,13121010400,8290.0,2017.0
633,13121010507,8190.0,2017.0
634,13121010508,3503.0,2017.0
635,13121010510,14706.0,2017.0
636,13121010511,7714.0,2017.0
637,13121010512,6497.0,2017.0
638,13121010513,13303.0,2017.0
639,13121010514,13563.0,2017.0
640,13121010515,5553.0,2017.0
641,13121010516,9424.0,2017.0
642,13121010601,3603.0,2017.0
643,13121010603,4213.0,2017.0
644,13121010604,2898.0,2017.0
645,13121010800,6622.0,2017.0
646,13121011000,3375.0,2017.0
647,13121011100,2420.0,2017.0
648,13121011201,3876.0,2017.0
649,13121011202,4169.0,2017.0
650,13121011301,4478.0,2017.0
651,13121011303,9355.0,2017.0
652,13121011305,5463.0,2017.0
653,13121011306,2356.0,2017.0
654,13121011405,7375.0,2017.0
655,13121011410,6866.0,2017.0
656,13121011411,8284.0,2017.0
657,13121011412,9214.0,2017.0
658,13121011414,8019.0,2017.0
659,13121011416,5344.0,2017.0
660,13121011417,5147.0,2017.0
661,13121011418,6435.0,2017.0
662,13121011419,5427.0,2017.0
663,13121011420,8309.0,2017.0
664,13121011421,4451.0,2017.0
665,13121011422,3914.0,2017.0
666,13121011423,4936.0,2017.0
667,13121011424,5875.0,2017.0
668,13121011425,7369.0,2017.0
669,13121011426,2461.0,2017.0
670,13121011427,7947.0,2017.0
671,13121011503,10811.0,2017.0
672,13121011504,13253.0,2017.0
673,13121011505,4446.0,2017.0
674,13121011506,5937.0,2017.0
675,13121011610,5967.0,2017.0
676,13121011611,8461.0,2017.0
677,13121011612,3387.0,2017.0
678,13121011613,7109.0,2017.0
679,13121011614,14013.0,2017.0
680,13121011615,10427.0,2017.0
681,13121011616,5631.0,2017.0
682,13121011617,7653.0,2017.0
683,13121011618,4709.0,2017.0
684,13121011619,8621.0,2017.0
685,13121011620,10558.0,2017.0
686,13121011621,7000.0,2017.0
687,13121011622,10206.0,2017.0
688,13121011623,11870.0,2017.0
689,13121011624,4295.0,2017.0
690,13121011625,7891.0,2017.0
691,13121011626,10191.0,2017.0
692,13121011800,2198.0,2017.0
693,13121011900,3289.0,2017.0
694,13121012000,2850.0,2017.0
695,13121012300,2599.0,2017.0
945,13089980000,0.0,2017.0
946,13121003700,136.0,2017.0
947,13121980000,0.0,2017.0
