,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
410,13121004300,27875.0,2011.0
411,13121004300,32566.0,2012.0
412,13121004300,31607.0,2013.0
413,13121004300,30272.0,2014.0
414,13121004300,29238.0,2015.0
415,13121004300,28016.0,2016.0
416,13121004300,28287.0,2017.0
417,13121007603,19506.0,2010.0
418,13121007603,17889.0,2011.0
419,13121007603,15712.0,2012.0
420,13121007603,14346.0,2013.0
421,13121007603,14112.0,2014.0
422,13121007603,13251.0,2015.0
423,13121007603,13819.0,2016.0
424,13121007603,13792.0,2017.0
425,13121007604,26534.0,2010.0
426,13121007604,25664.0,2011.0
427,13121007604,19833.0,2012.0
428,13121007604,17238.0,2013.0
429,13121007604,16289.0,2014.0
430,13121007604,13674.0,2015.0
431,13121007604,15493.0,2016.0
432,13121007604,18537.0,2017.0
433,13121007703,46563.0,2010.0
434,13121007703,43716.0,2011.0
435,13121007703,40547.0,2012.0
436,13121007703,36971.0,2013.0
437,13121007703,40793.0,2014.0
438,13121007703,43531.0,2015.0
439,13121007703,40058.0,2016.0
440,13121007703,42150.0,2017.0
441,13121007704,38958.0,2010.0
442,13121007704,36378.0,2011.0
443,13121007704,41090.0,2012.0
444,13121007704,36896.0,2013.0
445,13121007704,33474.0,2014.0
446,13121007704,33750.0,2015.0
447,13121007704,31537.0,2016.0
448,13121007704,30497.0,2017.0
449,13121009501,119922.0,2010.0
450,13121009501,125880.0,2011.0
451,13121009501,128904.0,2012.0
452,13121009501,139750.0,2013.0
453,13121009501,133750.0,2014.0
454,13121009501,155568.0,2015.0
455,13121009501,127288.0,2016.0
456,13121009501,149688.0,2017.0
457,13089020700,40518.0,2010.0
458,13089020700,33750.0,2011.0
459,13089020700,39583.0,2012.0
460,13089020700,46458.0,2013.0
461,13089020700,45742.0,2014.0
462,13089020700,50833.0,2015.0
463,13089020700,51339.0,2016.0
464,13089020700,53833.0,2017.0
465,13121008902,51250.0,2010.0
466,13121008902,47490.0,2011.0
467,13121008902,52535.0,2012.0
468,13121008902,53902.0,2013.0
469,13121008902,52442.0,2014.0
470,13121008902,54497.0,2015.0
471,13121008902,60802.0,2016.0
472,13121008902,57142.0,2017.0
473,13121009403,50127.0,2010.0
474,13121009403,53376.0,2011.0
475,13121009403,53100.0,2012.0
476,13121009403,54643.0,2013.0
477,13121009403,41296.0,2014.0
478,13121009403,41655.0,2015.0
479,13121009403,42708.0,2016.0
480,13121009403,45102.0,2017.0
